,Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscriber Type,Zip Code
103,913285,460,8/31/2015 19:15,Embarcadero at Folsom,51,8/31/2015 19:23,Embarcadero at Sansome,60.0,553.0,Subscriber,94133
104,913284,322,8/31/2015 19:15,Broadway St at Battery St,82,8/31/2015 19:20,Mechanics Plaza (Market at Battery),75.0,512.0,Subscriber,94619
105,913283,597,8/31/2015 19:14,Market at 4th,76,8/31/2015 19:24,South Van Ness at Market,66.0,450.0,Subscriber,94103
106,913282,235,8/31/2015 19:13,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:17,Townsend at 7th,65.0,462.0,Subscriber,94306
107,913281,455,8/31/2015 19:12,Townsend at 7th,65,8/31/2015 19:19,Civic Center BART (7th at Market),72.0,370.0,Subscriber,94608
108,913280,467,8/31/2015 19:11,Market at Sansome,77,8/31/2015 19:19,Embarcadero at Bryant,54.0,426.0,Subscriber,94107
109,913279,744,8/31/2015 19:11,South Van Ness at Market,66,8/31/2015 19:23,Temporary Transbay Terminal (Howard at Beale),55.0,96.0,Subscriber,94611
110,913278,1128,8/31/2015 19:10,California Ave Caltrain Station,36,8/31/2015 19:29,San Antonio Caltrain Station,29.0,716.0,Subscriber,94024
111,913277,895,8/31/2015 19:10,Embarcadero at Vallejo,48,8/31/2015 19:25,San Francisco Caltrain (Townsend at 4th),70.0,158.0,Subscriber,94065
112,913276,230,8/31/2015 19:09,2nd at South Park,64,8/31/2015 19:13,Market at Sansome,77.0,359.0,Subscriber,94587
113,913275,487,8/31/2015 19:09,Temporary Transbay Terminal (Howard at Beale),55,8/31/2015 19:17,San Francisco Caltrain (Townsend at 4th),70.0,463.0,Subscriber,94117
114,913274,576,8/31/2015 19:08,Market at 4th,76,8/31/2015 19:18,2nd at Townsend,61.0,332.0,Subscriber,94107
115,913273,264,8/31/2015 19:08,Redwood City Caltrain Station,22,8/31/2015 19:12,Redwood City Medical Center,26.0,700.0,Subscriber,94063
116,913272,442,8/31/2015 19:06,5th at Howard,57,8/31/2015 19:14,Market at 10th,67.0,408.0,Subscriber,94103
117,913270,1432,8/31/2015 19:06,2nd at South Park,64,8/31/2015 19:30,Washington at Kearny,46.0,395.0,Subscriber,94133
118,913269,260,8/31/2015 19:05,Embarcadero at Vallejo,48,8/31/2015 19:10,Harry Bridges Plaza (Ferry Building),50.0,292.0,Subscriber,94131
119,913268,259,8/31/2015 19:05,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:09,2nd at Townsend,61.0,607.0,Subscriber,95134
120,913267,780,8/31/2015 19:04,Embarcadero at Vallejo,48,8/31/2015 19:17,San Francisco Caltrain 2 (330 Townsend),69.0,521.0,Subscriber,94403
121,913266,229,8/31/2015 19:04,Cowper at University,37,8/31/2015 19:08,Palo Alto Caltrain Station,34.0,41.0,Subscriber,94107
122,913265,658,8/31/2015 19:04,Townsend at 7th,65,8/31/2015 19:15,Spear at Folsom,49.0,606.0,Subscriber,94608
123,913264,431,8/31/2015 19:04,2nd at Townsend,61,8/31/2015 19:11,Steuart at Market,74.0,418.0,Subscriber,94612
124,913263,315,8/31/2015 19:03,Mountain View Caltrain Station,28,8/31/2015 19:09,Evelyn Park and Ride,30.0,141.0,Subscriber,94041
125,913258,414,8/31/2015 19:02,5th at Howard,57,8/31/2015 19:09,Steuart at Market,74.0,352.0,Subscriber,94903
126,913256,397,8/31/2015 19:02,Mountain View Caltrain Station,28,8/31/2015 19:09,Castro Street and El Camino Real,32.0,639.0,Subscriber,94103
127,913254,286,8/31/2015 19:02,Mountain View Caltrain Station,28,8/31/2015 19:06,Castro Street and El Camino Real,32.0,148.0,Subscriber,94022
128,913251,660,8/31/2015 19:01,Embarcadero at Sansome,60,8/31/2015 19:12,Temporary Transbay Terminal (Howard at Beale),55.0,356.0,Subscriber,94602
129,913250,226,8/31/2015 18:57,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:01,2nd at Townsend,61.0,501.0,Customer,98103
130,913248,291,8/31/2015 18:56,San Francisco Caltrain 2 (330 Townsend),69,8/31/2015 19:01,2nd at South Park,64.0,395.0,Subscriber,94107
131,913247,415,8/31/2015 18:55,Market at Sansome,77,8/31/2015 19:02,Grant Avenue at Columbus Avenue,73.0,659.0,Subscriber,94133
132,913246,769,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:08,Harry Bridges Plaza (Ferry Building),50.0,587.0,Subscriber,94107
133,913245,727,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:07,Davis at Jackson,42.0,687.0,Subscriber,94111
134,913244,225,8/31/2015 18:55,Redwood City Caltrain Station,22,8/31/2015 18:59,Mezes Park,83.0,699.0,Subscriber,94063
135,913243,756,8/31/2015 18:55,San Francisco Caltrain (Townsend at 4th),70,8/31/2015 19:07,Davis at Jackson,42.0,470.0,Subscriber,94111
136,913242,452,8/31/2015 18:53,Market at 4th,76,8/31/2015 19:00,Market at 10th,67.0,434.0,Subscriber,94117
137,913241,267,8/31/2015 18:54,Clay at Battery,41,8/31/2015 18:58,Howard at 2nd,63.0,421.0,Subscriber,94107
138,913237,142,8/31/2015 18:51,Howard at 2nd,63,8/31/2015 18:53,Market at Sansome,77.0,361.0,Subscriber,94114
139,913236,391,8/31/2015 18:50,Steuart at Market,74,8/31/2015 18:57,Embarcadero at Sansome,60.0,409.0,Subscriber,94133
140,913235,692,8/31/2015 18:50,Embarcadero at Folsom,51,8/31/2015 19:01,2nd at Townsend,61.0,364.0,Subscriber,94062
141,913234,659,8/31/2015 18:49,Market at Sansome,77,8/31/2015 19:00,Embarcadero at Bryant,54.0,335.0,Subscriber,94105
142,913233,475,8/31/2015 18:49,Beale at Market,56,8/31/2015 18:57,Powell Street BART,39.0,440.0,Subscriber,94577
143,913232,421,8/31/2015 18:49,Embarcadero at Folsom,51,8/31/2015 18:56,2nd at Townsend,61.0,267.0,Subscriber,94107
144,913231,515,8/31/2015 18:49,Powell Street BART,39,8/31/2015 18:57,Temporary Transbay Terminal (Howard at Beale),55.0,412.0,Subscriber,94602
145,913230,395,8/31/2015 18:48,Mechanics Plaza (Market at Battery),75,8/31/2015 18:55,Powell Street BART,39.0,469.0,Subscriber,94103
146,913228,886,8/31/2015 18:47,Harry Bridges Plaza (Ferry Building),50,8/31/2015 19:02,San Francisco Caltrain (Townsend at 4th),70.0,387.0,Subscriber,94107
